"actor_id","actor_bio","actor_chName","actor_foreName","actor_nationality","actor_constellation","actor_birthPlace","actor_birthDay","actor_repWorks","actor_achiem","actor_brokerage"
"21","张光北，1959年生于中国北京，中国内地影视男演员，北京北广传媒影视有限公司副总经理兼制片人。1976年参军，1986年毕业于中央戏剧学院。1986年，参演首部电影《芙蓉镇》；1988年，凭借电影《弧光》获得中国表演艺术学会学会奖；参演电影《哗变》获百花奖最佳男演员提名。1993年在电视剧《三国演义》中饰演吕布一角。2005年，与李幼斌、何政军合作主演电视剧《亮剑》。2007年7月，联手李幼斌、何政军出演《亮剑》的原班人马打造的电视剧《仁者无敌》。2013年，与李诚儒联袂主演话剧《王府井》。2015年出演电影《三体》中常伟思一角。编辑摘要","张光北","None","中国","None","北京","1959年6月11日","芙蓉镇、亮剑","百花奖最佳男演员提名","None"
"22","金城武（Takeshi Kaneshiro）中日混血，1973年10月11日出生于台湾台北市，演员、歌手。15岁时因拍摄广告而进入演艺圈。1992年录制第一张个人大碟，其后相继发行十余张专辑。1994年金城武出演王家卫的电影《重庆森林》《堕落天使》涉足影坛。1998年，金城武将演艺重心转向日本，凭借日剧《神啊！请多给我一点时间》获得日本第18届日剧学院赏最佳男主角。同年出演电影《不夜城》获得第41届日本电影蓝丝带奖最佳男主角提名，其后先后相继主演张艾嘉的《心动》、叶锦鸿的《薰衣草》、杜琪峰的《向左走向右走》等电影。2004年，金城武首次与内地导演合作出演张艺谋的电影《十面埋伏》。其后又相继出演陈可辛的《如果.爱》、《投名状》、《武侠》，刘伟强的《伤城》，吴宇森的《赤壁》、《太平轮》。2015年，接拍由王家卫监制的电影《摆渡人》，获得第54届台湾金马奖最佳男主角提名，2016年，主演陈可辛执导的爱情片《喜欢你》2017年，主演麦浚龙执导的警匪片《风林火山》。编辑摘要","金城武","Takeshi Kaneshiro","日本","天秤座","中国台湾台北市","1973年10月11日","重庆森林》、《不夜城》、《心动》、《十面埋伏》、《如果爱》、《赤壁","第18届日剧奥斯卡最佳男主角 Bvlgari Brilliant Dreams Award 中国最具价值男明星之一（前十）","福隆经纪公司、EEI唱片"
"23","叶一茜，女，1984年9月3日出生于福建南平，毕业于北京电影学院表演系专业。中国女歌手、演员兼主持人。2005年参加湖南卫视主办的《超级女声》，获得全国第七名。2006年，发行个人首张专辑《爱情十二元素》；同年参演个人首部电视剧《神雕侠侣》，饰演西山一窟鬼。2007年11月29日，叶一茜与前国家跳水运动员田亮举办婚礼，两人于2008年4月15日喜得女儿田雨橙。2010年，参演个人首部电影《绑架冰激凌》，饰演娜娜。2013年，荣获第四届女性传媒大奖“年度家庭榜样”奖。2014年，录制电影《爸爸去哪儿》主题曲《宝贝去哪儿》；同年参演电视剧《骄阳似我》。2015年1月，叶一茜在京发行EP唱片《一撇·时光》。编辑摘要","叶一茜","None","中国","处女座","福建省南平市政和县","1984年9月3日","爱情十二元素》、《想你的笑","2005湖南卫视超级女声全国七强","东方风行"
"24","菅韧姿，1991年10月19日出生于辽宁沈阳，中国内地女演员，毕业于中央戏剧学院表演系2010级本科。2013年6月，担任谭晶《飘香》MV女主角，从此开始演艺事业 ；9月在同性爱情片《寻找罗麦》中饰演朱莉。2014年10月主演的传记片《辛亥元勋蒋翊武》入围第三十二届“百花奖”电影展 ；12月出演古装武侠剧《神雕侠侣》。2015年1月，在都市情感剧《何以笙箫默》中饰演何以玫；7月，主演职场商战剧《猎场》 ，出演古装爱情剧《上错花轿之三嫁奇缘》。2016年6月，主演的文艺片《幻想曲》入围第67届戛纳电影节一种关注单元；12月，主演惊悚悬疑片《失心者》。2017年1月，出演都市励志情感剧《合伙人》；10月，主演玄幻剧《问天录》；11月在电视剧《猎场》中饰演女主罗伊人。编辑摘要","菅韧姿","Joyce","中国","None","辽宁沈阳","1991年10月19日","猎场》、《幻想曲","斯沃旗杯美术大赛全国一等奖 书法大赛三等奖 北京舞蹈学院芭蕾舞六级","None"
"25","杨颖（Angelababy），1989年2月28日出生于上海市，华语影视女演员、时尚模特。2003年，Angelababy以模特身份在香港出道。2007年，她开始将工作重心转向大银幕。2011年在爱情片《夏日乐悠悠》中首次担任女主角。2012年凭借言情片《第一次》获得第13届华语电影传媒大奖最受瞩目女演员奖。2014年凭借真人秀《奔跑吧兄弟》赢得广泛关注；同年，她还因出演古装片《狄仁杰之神都龙王》获得第21届北京大学生电影节最受欢迎女演员奖。2015年，其主演的冒险片《鬼吹灯之寻龙诀》票房突破16亿人民币，而她也凭借该片获得第33届大众电影百花奖最佳女配角奖。2017年其主演的古装剧《孤芳不自赏》取得全国同时段电视剧收视冠军。编辑摘要","杨颖","AngelaBaby","中国","双鱼座","上海市","1989年2月28日","夏日乐悠悠、奔跑吧兄弟","华语电影传媒大奖最受瞩目女演员 北京大学生电影节最受欢迎女演员 第33届大众电影百花奖最佳女配角奖","Angelababy工作室（泰洋川禾）"
"26","陈匡怡（Andrea Chen，1987年11月20日—），中国台湾女艺人，就读于台湾大学国企系。脱俗的相貌让众多广告商和导演都发出了“邀请函”。拍过房地产和奇异果广告，也是网拍模特，还曾经担任过周杰伦《说好的幸福呢》MV中的女主角。陈匡怡有“小周慧敏”的称号，是台湾娱乐界新生代美少女之一。2010年8月签约华研国际音乐，2011年出演《我可能不会爱你》“Maggie”一角踏入影视剧行业。2013年出演电视剧版《小时代》，电影《阳光橱窗》上映。2014年主演偶像剧《威廉王子》。2015年主演奇幻爱情偶像剧《我的灵界男友》。编辑摘要","陈匡怡","Andrea Che","中国台湾","天蝎座","台湾","1987年11月20日","说好的幸福呢","台大五姬之一","华研国际音乐"
"27","林志玲（LinChi-ling，1974年11月29日－），出生于台湾省台北市。著名模特、主持人、女演员。1998年，林志玲参演张国荣的MV《Everybody》而正式出道。2001年，其在华冈艺校兼职教舞时，被星探林健寰发现，开始其模特生涯，由于甜美清丽的外貌与姣好的身材而被媒体冠以“台湾第一名模”的称号。2007年，林志玲参与拍摄了吴宇森导演的电影《赤壁》，并凭借该片获得第二十八届香港电影金像奖“最佳新演员”奖。之后，她陆续拍摄了《刺陵》、《决战刹马镇》、《幸福额度》等电影。2013年，林志玲主演的电影《101次求婚》、《富春山居图》和《甜心巧克力》相继上映。2014年，林志玲代言网页游戏《女神联盟》繁体版，并在其中饰演光之女神形象；11月，其参加了天津卫视的明星真人秀节目《喜从天降》。2014年主演谍战电影《王牌》。2015年与黄子佼共同担任金马奖主持人。2015年12月29日，名模林志玲人美心也美，已连续3年捐出私人收藏与二手衣物，将义卖所得全数援助弱势群体。2016年3月，加盟大型明星旅行真人秀《花样姐姐第二季》。编辑摘要","林志玲","Chiling Li","中国","射手座","台湾省台北市","1974年11月29日","赤壁》 《101次求婚》 《甜心巧","华岗艺校表演艺术科教师 福布斯中国名人榜第11位 FHM “全球百大性感美女”第一名","凯渥模特经纪公司"
"28","卓义峰，男，台湾台南人，歌手，是台湾校园歌手大赛冠军。卓义峰首张个人专辑《贩卖温柔》。卓义峰：是台湾校园歌手大赛出来的冠军，嗓音容易让人想起当年的动力火车的尤秋兴，但是他的嗓音更加厚实，到了高音处非常有爆发力，高音技巧运用的淋漓尽致，歌很好听，一般人唱不了。台中东海大学统计学系毕业。是继张雨生、信和杨培安后，又一高亢歌手，素有“丐帮帮主”称号。编辑摘要","卓义峰","Apar","中国台湾","魔羯座","None","None","贩卖温柔","None","None"
"29","李玟（CoCo Lee，1975年1月17日－），原名李美林，美籍华裔歌手，首位进军美国歌坛的华语歌手、首位全球发行英文专辑的华语歌手、首位登上奥斯卡金像奖颁奖典礼献唱的华语歌手、首位华人歌手获邀于美国洛杉矶华特迪士尼音乐厅举办个人演唱会，是当代华语歌坛的最具代表性的人物之一。2011年10月28日，李玟在香港完婚。2013签约环球唱片，同时发行专辑《盛开》。2001年，因演唱《卧虎藏龙》主题曲，成为首位登上奥斯卡金像奖颁奖典礼献唱的华语歌手，同年发行国语专辑《Promise CoCo 》；2004年，与尊龙主演电影《自娱自乐》，该片在美国好莱坞“第五届贝弗利山电影节”上获最佳外语片奖；2005年发行英文专辑《Exposed》，2006年发行专辑《要定你》。2016年，李玟作为首发阵容参加《我是歌手第四季》，最终夺冠斩获“歌王”称号。2017年，发行纪念单曲《18》，与林俊杰在央视春晚共同演唱《梦想之城》；5月，“2017CoCo李玟18世界巡回演唱会”全球首站在深圳湾体育馆开唱。编辑摘要","李玟","coco lee","美国","魔羯座","中国香港","1975年1月17日","颜色》《好心情》《自己》《刀马旦","全球华语榜中榜亚洲最杰出艺人 香港电影金像奖最佳原创电影歌曲、亚洲周刊亚洲50位最具影响力人物、美国哈佛大学杰出华人奖 Billboard最佳中文音乐录像带奖、首位献唱奥斯卡颁奖典礼亚洲歌手","环球唱片"
"30","琦琦，香港著名模特儿。幼年随家人移民奥地利的维也纳。早在6岁时就已经被一家模特儿公司发掘及赏识，为奥地利维也纳一份杂志担当“封面女孩”，当时的摄影师是安祖亚·韦伯（andreaweber）。1989年大学的暑假期间，在街上被一名模特儿经理人看中，邀请加入其模特儿公司，其后以她高贵典雅的气质在欧洲时尚界闯出名堂。 1997年11月琦琦与香港演员任达华结婚，婚姻幸福，羡煞旁人。2005年诞下女儿任晴佳(Ella)。编辑摘要","琦琦","Sophia Kao","中国","None","上海(祖籍为江苏吴江同里)","1967年9月29日","None","None","None"
