"actor_movie_id","actor_id","movie_id"
"132","763","1247"
"133","770","1252"
"134","782","1262"
"135","786","3564"
"136","801","1349"
"137","807","820"
"138","811","7362"
"139","814","52"
"140","830","6011"
"141","832","2161"
"142","832","12129"
"143","849","13340"
"144","852","274"
"145","853","9525"
"146","857","2920"
"147","871","1448"
"148","881","8836"
"149","881","6493"
"150","885","5698"
"151","886","7845"
"152","898","2400"
"153","907","1931"
"154","907","9380"
"155","908","4619"
"156","908","7394"
"157","925","2653"
"158","929","10645"
"159","961","1989"
"160","961","1645"
"161","966","1537"
"162","966","5497"
"163","981","1699"
"164","982","13554"
"165","982","2820"
"166","989","5154"
"167","991","1473"
"168","992","1743"
"169","993","1751"
"170","993","460"
"171","996","731"
"172","996","1769"
"173","1002","1798"
"174","1003","4754"
"175","1005","1801"
"176","1013","9279"
"177","1021","1851"
"178","1027","1869"
"179","1029","1874"
"180","1074","5678"
"181","1078","7591"
"182","1079","2697"
"183","1080","2020"
"184","1081","4334"
"185","1081","2025"
"186","1082","3587"
"187","1087","1625"
"188","1104","354"
"189","1107","2104"
"190","1108","2358"
"191","1108","2104"
"192","1108","4031"
"193","1112","2121"
"194","1125","2857"
"195","1126","35"
"196","1129","2155"
"197","1133","523"
"198","1133","7835"
"199","1146","1279"
"200","1148","2205"
"201","1156","1535"
"202","1172","354"
"203","1177","10463"
"204","1179","4465"
"205","1181","4465"
"206","1187","83"
"207","1189","10020"
"208","1190","9767"
"209","1196","2325"
"210","1199","12129"
"211","1205","2348"
"212","1228","12773"
"213","1239","51"
"214","1240","416"
"215","1247","8721"
"216","1247","9537"
"217","1260","2448"
"218","1266","9471"
"219","1268","9725"
"220","1271","2012"
"221","1286","9994"
"222","1308","4338"
"223","1308","870"
"224","1324","9010"
"225","1333","244"
"226","1333","496"
"227","1334","7839"
"228","1336","11048"
"229","1350","1297"
"230","1351","4465"
"231","1368","10453"
"232","1377","618"
"233","1379","13830"
"234","1387","6369"
"235","1395","4502"
"236","1396","107"
"237","1396","2426"
"238","1426","2813"
"239","1429","13085"
"240","1431","4828"
"241","1434","175"
"242","1435","610"
"243","1435","8585"
"244","1435","2827"
"245","1436","2832"
"246","1436","1703"
"247","1452","542"
"248","1494","1253"
"249","1494","2204"
"250","1494","9549"
"251","1500","4296"
"252","1500","2132"
"253","1506","2982"
"254","1507","635"
"255","1507","11634"
"256","1516","3034"
"257","1547","3093"
"258","1551","7795"
"259","1562","3123"
"260","1592","1459"
"261","1592","8314"
"262","1613","1080"
"263","1619","3219"
"264","1625","2474"
"265","1628","833"
"266","1629","8527"
"267","1629","8528"
"268","1654","1505"
"269","1658","257"
"270","1674","5445"
"271","1677","8601"
"272","1689","2609"
"273","1708","12352"
"274","1722","6409"
"275","1722","1452"
"276","1724","3499"
"277","1726","3422"
"278","1736","4724"
"279","1738","5166"
"280","1742","1803"
"281","1743","11751"
"282","1748","6624"
"283","1752","1512"
"284","1752","4379"
"285","1754","676"
"286","1754","1539"
"287","1754","11375"
"288","1754","6744"
"289","1757","3589"
"290","1757","3587"
"291","1770","3669"
"292","1785","3219"
"293","1787","1258"
"294","1819","12232"
"295","1821","3795"
"296","1822","8547"
"297","1830","3869"
"298","1865","6318"
"299","1879","11201"
"300","1879","9393"
"301","1885","3933"
"302","1895","3949"
"303","1908","5038"
"304","1929","4061"
"305","1933","3544"
"306","1941","3138"
"307","1994","820"
"308","1996","3174"
"309","1996","11209"
"310","2013","4486"
"311","2024","1253"
"312","2042","577"
"313","2043","4349"
"314","2044","87"
"315","2050","6369"
"316","2060","12642"
"317","2066","1168"
"318","2076","4415"
"319","2077","12007"
"320","2082","2074"
"321","2088","397"
"322","2088","728"
"323","2112","8020"
"324","2141","4580"
"325","2147","10534"
"326","2147","8602"
"327","2151","4601"
"328","2155","244"
"329","2160","3592"
"330","2184","3752"
"331","2191","13738"
"332","2194","4738"
"333","2194","577"
"334","2223","3320"
"335","2242","4859"
"336","2259","4895"
"337","2271","1931"
"338","2274","5036"
"339","2294","7231"
"340","2311","8863"
"341","2316","5038"
"342","2322","1269"
"343","2324","7713"
"344","2324","9781"
"345","2324","9537"
"346","2331","5046"
"347","2332","177"
"348","2349","5112"
"349","2368","1045"
"350","2368","5915"
"351","2369","1107"
"352","2389","2439"
"353","2400","355"
"354","2401","5265"
